Фамилия;Имя;Отчество;Пароль;Email;Город;maildisplay;Факультет;Группа;Курс
Петров;Максим;Андреевич;6745;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Куликов;Юлия;Ивановна;1805;Kulikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Мартынов;Кирилл;Федорович;7274;Martynov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Куликов;Дмитрий;Романович;8368;Kulikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Андреев;Виктория;Кирилловна;1569;Andreev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Королев;Юлия;Николаевна;3345;Korolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соболев;Елена;Андреевна;1597;Sobolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Морозов;Наталья;Егоровна;5578;Morozov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Прохоров;Николай;Петрович;8365;Prohorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Григорьев;Максим;Романович;9608;Grigor'ev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Рябов;Анна;Петровна;6886;Rjabov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Козлов;Михаил;Максимович;5973;Kozlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Петров;Николай;Иванович;9849;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Прохоров;Егор;Иванович;4935;Prohorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Мартынов;Ксения;Сергеевна;6703;Martynov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Егоров;Виктор;Алексеевич;1931;Egorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Орлов;Дарья;Сергеевна;7266;Orlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Фёдоров;Роман;Федорович;6184;Fedorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Орлов;Дарья;Федоровна;4709;Orlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Морозов;Федор;Иванович;3322;Morozov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Панфилов;Алексей;Иванович;2072;Panfilov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Николай;Сергеевич;8265;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Чернов;Алиса;Федоровна;5660;Chernov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Филиппов;Татьяна;Николаевна;9445;Filippov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Филиппов;Мария;Михайловна;3683;Filippov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Ковалев;Алиса;Ивановна;3644;Kovalev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Григорьев;Петр;Иванович;9197;Grigor'ev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Роман;Андреевич;3300;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Сидоров;Светлана;Кирилловна;6132;Sidorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Плотников;Полина;Дмитриевна;4521;Plotnikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Андреев;Николай;Николаевич;1656;Andreev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соколов;Артем;Михайлович;1495;Sokolov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тарасов;Артем;Сергеевич;7502;Tarasov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Сафонов;Артем;Романович;8898;Safonov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соколов;Михаил;Андреевич;5801;Sokolov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Плотников;Владимир;Петрович;3933;Plotnikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Белов;Полина;Алексеевна;3528;Belov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Жуков;Ксения;Андреевна;6273;Zhukov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Лебедев;Вера;Алексеевна;9918;Lebedev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Григорьев;Алексей;Михайлович;1465;Grigor'ev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Чернов;Ольга;Дмитриевна;9227;Chernov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Плотников;Алексей;Федорович;9262;Plotnikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Панфилов;Кирилл;Михайлович;4611;Panfilov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соколов;Петр;Егорович;9233;Sokolov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Иванов;Татьяна;Дмитриевна;9361;Ivanov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тимофеев;Дарья;Ивановна;3112;Timofeev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Ирина;Арсеньевна;3177;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Михайлов;Мария;Михайловна;4829;Mihajlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Климов;Роман;Егорович;9971;Klimov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Фёдоров;Ксения;Алексеевна;2787;Fedorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Иванов;Егор;Иванович;5272;Ivanov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Семенов;Ксения;Алексеевна;6353;Semenov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Сидоров;Сергей;Романович;6959;Sidorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Кузнецов;Федор;Петрович;1108;Kuznetsov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Фёдоров;Анна;Максимовна;5920;Fedorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Ковалев;Иван;Егорович;1786;Kovalev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Орлов;Дарья;Алексеевна;2988;Orlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соколов;Федор;Андреевич;2308;Sokolov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Белов;Артем;Кириллович;3098;Belov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Петров;Полина;Андреевна;7115;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тимофеев;Кирилл;Андреевич;7328;Timofeev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Семенов;Артем;Кириллович;5392;Semenov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Дорофеев;Екатерина;Егоровна;7564;Dorofeev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Волков;Кирилл;Николаевич;4585;Volkov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Рябов;Петр;Алексеевич;4153;Rjabov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Андреев;Николай;Федорович;2808;Andreev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Королев;Дарья;Михайловна;1059;Korolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Петров;Екатерина;Романовна;7568;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Борисов;Юлия;Алексеевна;3832;Borisov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Сафонов;Сергей;Сергеевич;7900;Safonov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соколов;Дмитрий;Максимович;6294;Sokolov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Жуков;Михаил;Кириллович;4125;Zhukov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Сафонов;Вера;Сергеевна;1911;Safonov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тимофеев;Алексей;Максимович;7685;Timofeev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соболев;Екатерина;Ивановна;4922;Sobolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соболев;Анна;Федоровна;1087;Sobolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Новиков;Федор;Иванович;1189;Novikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Петров;Николай;Дмитриевич;7787;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Лебедев;Владимир;Петрович;8621;Lebedev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Егоров;Виктор;Федорович;2766;Egorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Сидоров;Татьяна;Дмитриевна;9951;Sidorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Григорьев;Максим;Иванович;8441;Grigor'ev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Климов;Анна;Максимовна;8729;Klimov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Андреев;Наталья;Петровна;8541;Andreev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Григорьев;Артем;Сергеевич;2163;Grigor'ev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Борисов;Петр;Викторович;1985;Borisov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Кузнецов;Кирилл;Егорович;5447;Kuznetsov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Панфилов;Дмитрий;Викторович;4951;Panfilov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тимофеев;Андрей;Егорович;5362;Timofeev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Козлов;Дмитрий;Егорович;4738;Kozlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Кузнецов;Наталья;Сергеевна;9889;Kuznetsov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Ирина;Федоровна;7762;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Попов;Иван;Михайлович;5719;Popov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Попов;Николай;Кириллович;7340;Popov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Вера;Романовна;2847;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Климов;Ольга;Сергеевна;4809;Klimov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Панфилов;Дарья;Егоровна;4777;Panfilov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Волков;Владимир;Федорович;2752;Volkov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Екатерина;Дмитриевна;9317;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Волков;Иван;Иванович;6319;Volkov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Жуков;Алиса;Петровна;8349;Zhukov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тарасов;Виктор;Егорович;3897;Tarasov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Ковалев;Елена;Федоровна;4241;Kovalev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Белов;Петр;Дмитриевич;1997;Belov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Егоров;Кирилл;Сергеевич;3990;Egorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тарасов;Петр;Арсеньевич;9939;Tarasov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Соболев;Алиса;Егоровна;5929;Sobolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Лебедев;Вера;Егоровна;4144;Lebedev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Плотников;Андрей;Сергеевич;5437;Plotnikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Лебедев;Татьяна;Арсеньевна;4330;Lebedev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Козлов;Ксения;Андреевна;1394;Kozlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Иванов;Наталья;Кирилловна;7847;Ivanov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Королев;Егор;Кириллович;3681;Korolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тарасов;Ольга;Алексеевна;7697;Tarasov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Семенов;Наталья;Дмитриевна;8335;Semenov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Орлов;Полина;Сергеевна;1484;Orlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Филиппов;Наталья;Алексеевна;1523;Filippov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Петров;Федор;Сергеевич;8422;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Борисов;Егор;Арсеньевич;8752;Borisov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Дорофеев;Елена;Арсеньевна;5304;Dorofeev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Петров;Андрей;Максимович;6895;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Королев;Роман;Николаевич;5020;Korolev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Кириллов;Сергей;Петрович;9027;Kirillov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Панфилов;Федор;Николаевич;5820;Panfilov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Мартынов;Елена;Сергеевна;3870;Martynov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тарасов;Екатерина;Николаевна;1225;Tarasov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Андреев;Виктория;Дмитриевна;6261;Andreev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Андреев;Ксения;Алексеевна;9058;Andreev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Тарасов;Алексей;Егорович;8125;Tarasov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Чернов;Михаил;Иванович;3118;Chernov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Попов;Татьяна;Михайловна;4085;Popov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Фёдоров;Наталья;Николаевна;8714;Fedorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Прохоров;Ксения;Федоровна;9244;Prohorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Филиппов;Михаил;Арсеньевич;3056;Filippov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Дорофеев;Дарья;Максимовна;9572;Dorofeev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Кузнецов;Юлия;Алексеевна;9979;Kuznetsov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Белов;Дарья;Петровна;2265;Belov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Егоров;Петр;Максимович;5938;Egorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Петров;Елена;Николаевна;9361;Petrov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Орлов;Роман;Арсеньевич;8573;Orlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Фёдоров;Иван;Петрович;1220;Fedorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Прохоров;Федор;Алексеевич;6093;Prohorov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Белов;Михаил;Максимович;1681;Belov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Орлов;Андрей;Иванович;3550;Orlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Семенов;Виктория;Романовна;1095;Semenov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Попов;Виктория;Петровна;9625;Popov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Попов;Ксения;Сергеевна;1668;Popov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Куликов;Петр;Романович;8115;Kulikov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Мария;Романовна;6093;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Макаров;Дмитрий;Андреевич;1289;Makarov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Лебедев;Федор;Кириллович;4112;Lebedev.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Козлов;Светлана;Петровна;7313;Kozlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
Козлов;Федор;Егорович;4084;Kozlov.in.jaz@Gmail.com;Гомель;0;ин.яз;мс-32 1998;3
